"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12648","Validate complete purchase flow","firefox","2026-05-15","passed","2026-05-15","Q2 Tests","q2.spec.js","",""
"","23044","Validate performance glitch user flow","firefox","2026-05-15","passed","2026-05-15","Q3 Tests","q3.spec.js","",""
"","16990","Validate performance glitch user flow","chromium","2026-05-15","passed","2026-05-15","Q3 Tests","q3.spec.js","",""
"","4053","Validate locked out user error message","webkit","2026-05-15","passed","2026-05-15","Q1 Tests","q1.spec.js","",""
"","5659","get started link","webkit","2026-05-15","passed","2026-05-15","UI Automation Testing","example.spec.js","",""
"","4707","has title","webkit","2026-05-15","passed","2026-05-15","UI Automation Testing","example.spec.js","",""
"","5603","has title","chromium","2026-05-15","passed","2026-05-15","UI Automation Testing","example.spec.js","",""
"","5316","get started link","chromium","2026-05-15","passed","2026-05-15","UI Automation Testing","example.spec.js","",""
"","5317","Validate locked out user error message","chromium","2026-05-15","passed","2026-05-15","Q1 Tests","q1.spec.js","",""
"","14676","has title","firefox","2026-05-15","passed","2026-05-15","UI Automation Testing","example.spec.js","",""
"","25461","Validate performance glitch user flow","webkit","2026-05-15","passed","2026-05-15","Q3 Tests","q3.spec.js","",""
"","8367","Validate locked out user error message","firefox","2026-05-15","passed","2026-05-15","Q1 Tests","q1.spec.js","",""
"","9565","get started link","firefox","2026-05-15","passed","2026-05-15","UI Automation Testing","example.spec.js","",""
"","8346","Validate complete purchase flow","chromium","2026-05-15","passed","2026-05-15","Q2 Tests","q2.spec.js","",""
"","20663","Validate complete purchase flow","webkit","2026-05-15","passed","2026-05-15","Q2 Tests","q2.spec.js","",""
